Ref,Type,Sheet
U1A,74HC32,RAM
U1B,74HC32,RAM
U1C,74HC32,VDP
U1D,74HC32,VDP
U2A,74HC04,RAM
U2B,74HC04,PPI
U2C,74HC04,PPI
U2D,74HC04,IO
U2E,74HC04,PSG
U2F,74HC04,---
U3,HM62256ALP-10,RAM
U4,HM62256ALP-10,RAM
U5A,74HCT04,VDP
U5B,74HCT04,VDP
U5C,74HCT04,VDP
U5D,74HCT04,VDP
U5E,74HCT04,VDP
U5F,74HCT04,VDP
U6,74HCT574,VDP
U7,74HCT574,VDP
U8,74HCT574,VDP
U9,HM62256ALP-10,VDP
U10,TMS99x8,VDP
U11A,74HCT244,CPU
U11B,74HCT244,CPU
U12A,74HCT244,CPU
U12B,74HCT244,CPU
U13,74HCT245,CPU
U14A,74HCT244,CPU
U14B,74HCT244,CPU
U15A,74HC74,CPU
U15B,74HC74,CPU
U16A,74HC08,CPU
U16B,74HC08,CPU
U16C,74HC08,PPI
U16D,74HC08,PSG
U17A,74HC32,CPU
U17B,74HC32,PPI
U17C,74HC32,PPI
U17D,74HC32,PPI
U18,Z84C006,CPU
U19,82C55A,PPI
U20,74HC153,PPI
U21A,74HC139,PPI
U21B,74HC139,PPI
U23,74HC138,IO
U24A,74HC32,IO
U24B,74HC32,PSG
U24C,74HC32,PSG
U24D,74HC32,PSG
U25,SST39SF0x0,ROM
U26,ATMEGA328P,KBD
U27,74HC154,KBD
U28,74HC595,KBD
U29,74HC595,KBD
U30,74HC595,KBD
U31,74HC595,KBD
U32,74HC595,KBD
U33,74HC595,KBD
U34,74HC595,KBD
U35,74HC595,KBD
U36,74HC595,KBD
U37,74HC595,KBD
U38A,4069,CPU
U38B,4069,CPU
U38C,4069,CPU
U38D,4069,CPU
U38E,4069,PSG
U38F,4069,PSG
U39A,74HC07,PSG
U39B,74HC07,PSG
U39C,74HC07,PSG
U39D,74HC07,PSG
U39E,74HC07,PSG*
U39F,74HC07,PSG*
U40A,74HC74,PSG
U40B,74HC74,PPI
U41,AY-3-8910,PSG
U42,74HC157,PSG
U43,74HC157,PSG
U44A,74HC32,PSG
U44B,74HC32,PSG
U44C,74HC32,SLOTS
U44D,74HC32,SLOTS
U45,74HC595,KBD
U46,LM311,CAS
Y1,10.7386,VDP
Y2,16MHZ,KBD
Y3,3.58MHZ,CPU
R1,10K,SLOTS
R2,10K,SLOTS
R3,1M,CPU
R4,1K,CPU
R5,10K,CPU
R6,10K,PSG
R7,10K,PSG
R8,10K,PSG
R9,10K,PSG
R10,10K,PSG
R11,10K,PSG
R12,10K,PSG
R13,10K,PSG
R14,10K,PSG
R15,10K,PSG
R16,10K,PSG
R17,10K,PSG
R18,470,PSG
R19,20k,PSG
R20,4k7,PSG
R21,2k7,PSG
R22,10K,PSG
R23,10K,PSG
R24,10K,PSG
R25,4k7,CAS
R26,4k7,CAS
R27,100,CAS
R28,2k7,CAS
R29,2k7,CAS
R30,10k,CAS
R31,4k7,CAS
R32,220k,CAS
R33,1k,CAS
R34,10k,CAS
R35,470k,CAS
J1,PS2CONN,KBD
J2,MSXSLOT,SLOTS
J3,MSXSLOT,SLOTS
J4,JOYCONN,PSG
J5,JOYCONN,PSG
J6,PWRCONN,PWR
J7,AUDIOCONN,CAS
J8,AUDIOCONN,CAS
C1,27pF,VDP
C2,27pF,VDP
C3,22pF,KBD
C4,22pF,KBD
C5,22pF,CPU
C6,22pF,CPU
C7,1uF,CPU
C8,22pF,CPU
C9,10uF,PSG
C10,10uF,PSG
C11,10uF,PSG
C12,22pF,PWR
C13,22pF,PWR
C14,22pF,PWR
C15,22pF,PWR
C16,22pF,PWR
C17,22pF,PWR
C18,22pF,PWR
C19,22pF,PWR
C20,22pF,PWR
C21,22pF,PWR
C22,22pF,PWR
C23,22pF,PWR
C24,22pF,PWR
C25,22pF,PWR
C26,22pF,PWR
C27,22pF,PWR
C28,22pF,PWR
C29,22pF,PWR
C30,22pF,PWR
C31,22pF,PWR
C32,22pF,PWR
C33,22pF,PWR
C34,22pF,PWR
C35,22pF,PWR
C36,22pF,PWR
C37,22pF,PWR
C38,22pF,PWR
C39,22pF,PWR
C40,22pF,PWR
C41,22pF,PWR
C42,22pF,PWR
C43,22pF,PWR
C44,22pF,PWR
C45,22pF,PWR
C46,22pF,PWR
C47,22pF,PWR
C48,22pF,PWR
C49,22pF,PWR
C50,22pF,PWR
C51,22pF,PWR
C52,22pF,PWR
C53,22pF,PWR
C54,22pF,PWR
C55,22pF,PWR
C56,1uF,CAS
C57,22nF,CAS
C58,22nF,CAS
C59,1uF,CAS

